"Stock","Year","Length","CatchNo"
"KOB-S",2008,1090,4.8196127103
"KOB-S",2008,1100,5.9627163836
"KOB-S",2008,1110,3.5512424305
"KOB-S",2008,1120,1.9841263087
"KOB-S",2008,1130,2.107858135
"KOB-S",2008,1140,1.5663931003
"KOB-S",2008,1150,1.2757464087
"KOB-S",2008,1160,2.3301001536
"KOB-S",2008,1170,1.9675797707
"KOB-S",2008,1180,1.1050570435
"KOB-S",2008,1190,0.1856953382
"KOB-S",2008,1200,1.1308787085
"KOB-S",2008,1210,0
"KOB-S",2008,1220,0
"KOB-S",2008,1230,0.0491473187
"KOB-S",2008,1240,0.10976426
"KOB-S",2009,410,2.3029532095
"KOB-S",2009,420,2.9473033609
"KOB-S",2009,430,3.8456279926
"KOB-S",2009,440,4.3884038962
"KOB-S",2009,450,4.2387410803
"KOB-S",2009,460,5.3295625654
"KOB-S",2009,470,13.2732004529
"KOB-S",2009,480,38.0230434982
"KOB-S",2009,490,88.3972355986
"KOB-S",2009,500,222.0138123101
"KOB-S",2009,510,187.5672051261
"KOB-S",2009,520,172.2934082588
"KOB-S",2009,530,134.6656642525
"KOB-S",2009,540,127.7051643402
"KOB-S",2009,550,118.877373585
"KOB-S",2009,560,114.1184334275
"KOB-S",2009,570,99.642495241
"KOB-S",2009,580,88.7580127235
"KOB-S",2009,590,86.1309355316
"KOB-S",2009,600,78.4680402086
"KOB-S",2009,610,73.153464228
"KOB-S",2009,620,60.6497202834
"KOB-S",2009,630,59.2900919427
"KOB-S",2009,640,55.2199789599
"KOB-S",2009,650,56.740836905
"KOB-S",2009,660,52.6545789948
"KOB-S",2009,670,50.7973514753
"KOB-S",2009,680,45.2115259617
"KOB-S",2009,690,44.7514989936
"KOB-S",2009,700,42.0040829786
"KOB-S",2009,710,42.7477260038
"KOB-S",2009,720,37.6611769693
"KOB-S",2009,730,37.2121474537
"KOB-S",2009,740,34.8860226927
"KOB-S",2009,750,32.7896469939
"KOB-S",2009,760,30.3921855483
"KOB-S",2009,770,27.6155893504
"KOB-S",2009,780,29.0709198018
"KOB-S",2009,790,28.4659167207
"KOB-S",2009,800,23.5545759464
"KOB-S",2009,810,21.5896776256
"KOB-S",2009,820,18.0941007336
"KOB-S",2009,830,19.574900957
"KOB-S",2009,840,19.7268488735
"KOB-S",2009,850,17.9940299868
"KOB-S",2009,860,17.390811895
"KOB-S",2009,870,14.8509927379
"KOB-S",2009,880,15.5394379734
"KOB-S",2009,890,12.7195069136
"KOB-S",2009,900,12.1615822922
"KOB-S",2009,910,14.1466022677
"KOB-S",2009,920,12.0712304692
"KOB-S",2009,930,13.0447749284
"KOB-S",2009,940,13.599678831
"KOB-S",2009,950,12.2117245675
"KOB-S",2009,960,10.481305504
"KOB-S",2009,970,7.5661528629
"KOB-S",2009,980,8.6059157404
"KOB-S",2009,990,9.5524920069
"KOB-S",2009,1000,5.5616596136
"KOB-S",2009,1010,5.854201771
"KOB-S",2009,1020,5.298181331
"KOB-S",2009,1030,6.0384746506
"KOB-S",2009,1040,7.6142386779
"KOB-S",2009,1050,6.8139531109
"KOB-S",2009,1060,6.0253970415
"KOB-S",2009,1070,8.5079505261
"KOB-S",2009,1080,7.5996910323
"KOB-S",2009,1090,4.3829263185
"KOB-S",2009,1100,4.9257196877
"KOB-S",2009,1110,5.9644068753
"KOB-S",2009,1120,5.9193087689
